Timestamp,I am currently enrolled in a college/university in Metro Manila. ,I acknowledge that my responses will remain anonymous and will be used solely for academic research purposes. ,School Type,Program/Course,Discipline,Year Level,What is your current General Weighted Average (GWA)? ,How often do you use AI to correct grammar and spelling in your schoolwork?  ,How difficult is correcting grammar and spelling for you?  ,How often do you use AI to rephrase sentences for clarity? ,How difficult is rephrasing sentences for you? ,"How often do you use AI to summarize articles, lectures, or videos? ",How difficult is summarizing for you? ,How often do you use AI to find or cite sources with short notes? ,How difficult is finding and citing sources for you?,How often do you use AI to brainstorm ideas or perspectives for assignments? ,How difficult is brainstorming ideas for you? ,How often do you use AI to generate outlines or structures for essays or projects? ,How difficult is making outlines or structures for you? ,"How often do you use AI to help you explain multi-step solutions? (i.e. math problems, coding exercises, or scientific procedures) ",How difficult is explaining multi-step solutions for you? ,How often do you use AI to solve complex or original problems? ,How difficult are complex or original problems for you? ,I feel confident using AI tools to support my schoolwork.,I can figure out how to use new AI features on my own. ,I can complete most academic tasks successfully when I use AI. ,I often feel unsure about the right way to use AI for my tasks. ,"I can troubleshoot basic AI issues (prompts, settings, exporting) without help. ",AI helps me finish academic work more efficiently. ,Using AI allows me to accomplish more in the same amount of time.  ,"AI reduces time spent on low-level steps (e.g., formatting, basic edits). ",Using AI usually slows me down. ,"With AI, I can focus more on higher-level thinking. ","Overall, how often do you use any AI tool for schoolwork? ",Using AI for class tasks feels straightforward to me. ,"Overall, AI makes my study time more effective.  ","You must draft a 1,500-word essay from scratch in 24 hours. How likely are you to use AI to generate the outline? (1-5) ",Raffle Entry: https://forms.gle/S7md6RL5ix6GNMsw8,If you want to enter our giveaway,total_dependency,profile,over_reliant,over_reliant_tasks,confidence_mean,productivity_mean,overall_ai_use,scenario_outline_likelihood,grammar_spelling_freq,grammar_spelling_diff,grammar_spelling_bloom,grammar_spelling_dep,rephrase_clarity_freq,rephrase_clarity_diff,rephrase_clarity_bloom,rephrase_clarity_dep,summarize_freq,summarize_diff,summarize_bloom,summarize_dep,find_cite_sources_freq,find_cite_sources_diff,find_cite_sources_bloom,find_cite_sources_dep,brainstorm_freq,brainstorm_diff,brainstorm_bloom,brainstorm_dep,outline_structure_freq,outline_structure_diff,outline_structure_bloom,outline_structure_dep,explain_multistep_freq,explain_multistep_diff,explain_multistep_bloom,explain_multistep_dep,solve_complex_freq,solve_complex_diff,solve_complex_bloom,solve_complex_dep,p75_threshold,high_dependency_p75,cluster_label
9/12/2025 15:08,Yes,Yes,Public Higher Education Institutions,BS - Food Tech,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Often,1,Sometimes,1,Occasionally,3,Often,2,Often,4,Occasionally,2,Often,4,Often,4,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,4,Agree,Agree,3,,,98,Regular,FALSE,,3.6,3.4,4,3,4,1,1,4,3,1,2,6,2,3,3,6,4,2,3,12,4,4,4,16,2,2,5,10,4,4,5,20,4,4,6,24,97,1,2
9/12/2025 15:08,Yes,Yes,Public Higher Education Institutions,BAS-LT,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.76-2.00,Often,3,Sometimes,2,Often,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,3,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,3,Neutral,Agree,3,,,91,Regular,FALSE,,3.4,4,3,3,4,3,1,4,3,2,2,6,4,2,3,12,3,2,3,9,3,2,4,12,3,2,5,15,3,2,5,15,3,3,6,18,97,0,2
9/12/2025 15:09,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.26-1.50,Sometimes,2,Often,2,Sometimes,2,Never,2,Often,3,Sometimes,3,Sometimes,2,Occasionally,3,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,4,Neutral,Neutral,3,,,81,Regular,FALSE,,3.6,3.6,4,3,3,2,1,3,4,2,2,8,3,2,3,9,1,2,3,3,4,3,4,16,3,3,5,15,3,2,5,15,2,3,6,12,97,0,2
9/12/2025 15:09,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology,"Non-STEM (e.g.): Business Administration, Psychology, Communication, Education",3,1.76-2.00,Sometimes,4,Often,5,Occasionally,4,Sometimes,4,Sometimes,4,Often,4,Sometimes,5,Sometimes,5,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,4,Neutral,Neutral,4,,,91,Regular,FALSE,,2.4,2.6,4,4,3,4,1,3,4,5,2,8,2,4,3,6,3,4,3,9,3,4,4,12,4,4,5,20,3,5,5,15,3,5,6,18,97,0,0
9/12/2025 15:09,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Sometimes,2,Sometimes,2,Often,2,Never,1,Sometimes,2,Sometimes,2,Sometimes,3,Sometimes,3,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,3,Neutral,Neutral,1,,,84,Regular,FALSE,,2.2,2.6,3,1,3,2,1,3,3,2,2,6,4,2,3,12,1,1,3,3,3,2,4,12,3,2,5,15,3,3,5,15,3,3,6,18,97,0,0
9/12/2025 15:10,Yes,Yes,Public Higher Education Institutions, Bachelor of Science in Food Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.76-2.00,Often,4,Sometimes,4,Sometimes,3,Sometimes,3,Sometimes,3,Often,4,Often,4,Sometimes,3,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,3,Agree,Neutral,4,,,98,Regular,FALSE,,3,2.8,3,4,4,4,1,4,3,4,2,6,3,3,3,9,3,3,3,9,3,3,4,12,4,4,5,20,4,4,5,20,3,3,6,18,97,1,0
9/12/2025 15:10,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Always,5,Always,5,Often,4,Sometimes,4,Always,3,Often,5,Occasionally,2,Sometimes,3,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,5,Agree,Agree,4,,,104,Regular,FALSE,,4.4,4,5,4,5,5,1,5,5,5,2,10,4,4,3,12,3,4,3,9,5,3,4,20,4,5,5,20,2,2,5,10,3,3,6,18,97,1,1
9/12/2025 15:10,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science Major in Laboratory Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01-2.50,Sometimes,3,Often,4,Occasionally,3,Sometimes,3,Occasionally,3,Occasionally,2,Often,4,Sometimes,3,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,3,Disagree,Neutral,3,,,82,Regular,FALSE,,3,2.6,3,3,3,3,1,3,4,4,2,8,2,3,3,6,3,3,3,9,2,3,4,8,2,2,5,10,4,4,5,20,3,3,6,18,97,0,0
9/12/2025 15:10,Yes,Yes,Public Higher Education Institutions,BAS-LT,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",4,2.01-2.50,Sometimes,3,Sometimes,3,Occasionally,3,Sometimes,4,Sometimes,3,Occasionally,3,Sometimes,4,Sometimes,4,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,3,Neutral,Neutral,3,,,79,Regular,FALSE,,2.8,3.2,3,3,3,3,1,3,3,3,2,6,2,3,3,6,3,4,3,9,3,3,4,12,2,3,5,10,3,4,5,15,3,4,6,18,97,0,0
9/12/2025 15:11,Yes,Yes,Public Higher Education Institutions,BAS-Laboratory Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Sometimes,2,Sometimes,3,Occasionally,4,Occasionally,1,Often,3,Sometimes,3,Sometimes,4,Sometimes,4,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,3,Neutral,Agree,4,,,85,Regular,FALSE,,4,4.4,3,4,3,2,1,3,3,3,2,6,2,4,3,6,2,1,3,6,4,3,4,16,3,3,5,15,3,4,5,15,3,4,6,18,97,0,1
9/12/2025 15:11,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Sometimes,2,Sometimes,2,Occasionally,2,Never,1,Occasionally,2,Occasionally,2,Occasionally,2,Sometimes,3,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,2,Neutral,Agree,3,,,64,Regular,FALSE,,2.2,2.8,2,3,3,2,1,3,3,2,2,6,2,2,3,6,1,1,3,3,2,2,4,8,2,2,5,10,2,2,5,10,3,3,6,18,97,0,0
9/12/2025 15:11,Yes,Yes,Public Higher Education Institutions,Bachelor of applied science in laboratory technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.76-2.00,Often,2,Sometimes,2,Often,3,Often,4,Often,3,Sometimes,3,Often,3,Sometimes,3,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,4,Agree,Agree,3,,,103,Regular,FALSE,,3.2,3.8,4,3,4,2,1,4,3,2,2,6,4,3,3,12,4,4,3,12,4,3,4,16,3,3,5,15,4,3,5,20,3,3,6,18,97,1,2
9/12/2025 15:11,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science in Laboratory Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.76-2.00,Sometimes,3,Sometimes,3,Often,3,Occasionally,2,Occasionally,2,Sometimes,2,Sometimes,4,Sometimes,3,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,4,Disagree,Disagree,3,,,83,Regular,FALSE,,2.4,2.8,4,3,3,3,1,3,3,3,2,6,4,3,3,12,2,2,3,6,2,2,4,8,3,2,5,15,3,4,5,15,3,3,6,18,97,0,0
9/12/2025 15:12,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science major in Laboratory Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01-2.50,Sometimes,3,Sometimes,2,Often,4,Occasionally,3,Often,3,Sometimes,3,Sometimes,3,Sometimes,3,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,4,Neutral,Neutral,4,,,91,Regular,FALSE,,2.6,3.2,4,4,3,3,1,3,3,2,2,6,4,4,3,12,2,3,3,6,4,3,4,16,3,3,5,15,3,3,5,15,3,3,6,18,97,0,0
9/12/2025 15:12,Yes,Yes,Public Higher Education Institutions,Technological University of the Philippines - Manila,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Sometimes,2,Often,3,Sometimes,3,Never,1,Occasionally,2,Occasionally,2,Never,1,Occasionally,2,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,3,Neutral,Agree,4,,,58,Regular,FALSE,,3.2,3.4,3,4,3,2,1,3,4,3,2,8,3,3,3,9,1,1,3,3,2,2,4,8,2,2,5,10,1,1,5,5,2,2,6,12,97,0,2
9/12/2025 15:12,Yes,Yes,Public Higher Education Institutions,BSFT,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Often,3,Often,3,Sometimes,3,Occasionally,3,Occasionally,2,Occasionally,3,Often,3,Often,4,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,3,Neutral,Neutral,4,,,89,Regular,FALSE,,3.8,4.6,3,4,4,3,1,4,4,3,2,8,3,3,3,9,2,3,3,6,2,2,4,8,2,3,5,10,4,3,5,20,4,4,6,24,97,0,1
9/12/2025 15:13,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science in Laboratory Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.76-2.00,Often,3,Often,1,Often,1,Often,3,Often,1,Never,2,Occasionally,3,Sometimes,2,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,4,Neutral,Agree,3,,,85,Regular,FALSE,,4,4.2,4,3,4,3,1,4,4,1,2,8,4,1,3,12,4,3,3,12,4,1,4,16,1,2,5,5,2,3,5,10,3,2,6,18,97,0,1
9/12/2025 15:13,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.76-2.00,Sometimes,2,Sometimes,1,Often,2,Occasionally,2,Occasionally,2,Occasionally,2,Sometimes,2,Occasionally,2,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,Agree,Neutral,3,,,72,Regular,FALSE,,2.8,3,3,3,3,2,1,3,3,1,2,6,4,2,3,12,2,2,3,6,2,2,4,8,2,2,5,10,3,2,5,15,2,2,6,12,97,0,0
9/12/2025 15:14,Yes,Yes,Private Higher Education Institutions,BSN,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",4,1.51-1.75,Always,2,Often,2,Sometimes,1,Always,1,Always,2,Often,1,Often,2,Occasionally,3,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,5,Agree,Agree,4,,,109,Regular,FALSE,,4,4.4,5,4,5,2,1,5,4,2,2,8,3,1,3,9,5,1,3,15,5,2,4,20,4,1,5,20,4,2,5,20,2,3,6,12,97,1,1
9/12/2025 15:14,Yes,Yes,Private Higher Education Institutions,Bachelor of science in laboratory technology ,"Non-STEM (e.g.): Business Administration, Psychology, Communication, Education",3,2.01-2.50,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Occasionally,3,Occasionally,3,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,3,Neutral,Neutral,3,,,76,Regular,FALSE,,2.2,2.8,3,3,3,3,1,3,3,3,2,6,3,3,3,9,3,3,3,9,3,3,4,12,3,3,5,15,2,3,5,10,2,3,6,12,97,0,0
9/12/2025 15:16,Yes,Yes,Public Higher Education Institutions,BS in Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.26-1.50,Sometimes,3,Sometimes,2,Sometimes,2,Never,1,Sometimes,3,Sometimes,2,Occasionally,4,Sometimes,3,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,4,Agree,Agree,4,,,76,Regular,FALSE,,3.2,3.8,4,4,3,3,1,3,3,2,2,6,3,2,3,9,1,1,3,3,3,3,4,12,3,2,5,15,2,4,5,10,3,3,6,18,97,0,2
9/12/2025 15:18,Yes,Yes,Public Higher Education Institutions,Bachelor of applied science in laboratory technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01-2.50,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,3,Neutral,Agree,3,,,87,Regular,FALSE,,3.2,3.6,3,3,3,3,1,3,3,3,2,6,3,3,3,9,3,3,3,9,3,3,4,12,3,3,5,15,3,3,5,15,3,3,6,18,97,0,2
9/12/2025 15:18,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science in Laboratory Technology (BAS-LT),"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",4,2.01-2.50,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Often,3,Often,2,Often,2,Sometimes,2,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,3,Neutral,Agree,4,,,104,Regular,FALSE,,3.4,4,3,4,3,2,1,3,3,2,2,6,3,2,3,9,4,3,3,12,4,3,4,16,4,2,5,20,4,2,5,20,3,2,6,18,97,1,1
9/12/2025 15:18,Yes,Yes,Public Higher Education Institutions,Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.26-1.50,Sometimes,3,Occasionally,2,Occasionally,3,Occasionally,3,Occasionally,3,Occasionally,3,Never,2,Occasionally,3,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,3,Neutral,Agree,4,,,54,Regular,FALSE,,3.4,3.8,3,4,3,3,1,3,2,2,2,4,2,3,3,6,2,3,3,6,2,3,4,8,2,3,5,10,1,2,5,5,2,3,6,12,97,0,2
9/12/2025 15:18,Yes,Yes,Public Higher Education Institutions,BSFT,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Often,3,Sometimes,3,Sometimes,3,Occasionally,3,Occasionally,2,Sometimes,3,Often,4,Often,4,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,3,Agree,Neutral,3,,,92,Regular,FALSE,,4.2,4.2,3,3,4,3,1,4,3,3,2,6,3,3,3,9,2,3,3,6,2,2,4,8,3,3,5,15,4,4,5,20,4,4,6,24,97,0,1
9/12/2025 15:19,Yes,Yes,Public Higher Education Institutions,Bachelor of Science in Food Technology ,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Occasionally,2,Occasionally,2,Sometimes,3,Occasionally,3,Occasionally,3,Occasionally,2,Occasionally,3,Occasionally,3,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,2,Neutral,Neutral,2,,,61,Regular,FALSE,,3.4,3.2,2,2,2,2,1,2,2,2,2,4,3,3,3,9,2,3,3,6,2,3,4,8,2,2,5,10,2,3,5,10,2,3,6,12,97,0,2
9/12/2025 15:19,Yes,Yes,Public Higher Education Institutions,Bachelor of Applied Science Major in Laboratory Technology,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",5+,1.76-2.00,Often,2,Often,2,Sometimes,3,Occasionally,3,Often,2,Sometimes,2,Often,3,Often,3,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,2,Agree,Agree,3,,,102,Regular,FALSE,,2.6,2.8,2,3,4,2,1,4,4,2,2,8,3,3,3,9,2,3,3,6,4,2,4,16,3,2,5,15,4,3,5,20,4,3,6,24,97,1,0
9/12/2025 15:19,Yes,Yes,Public Higher Education Institutions,BAS-LT,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,2.01-2.50,Often,1,Sometimes,1,Often,2,Sometimes,3,Sometimes,3,Often,3,Often,4,Often,3,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,4,Neutral,Agree,3,,,107,Regular,FALSE,,2.4,3.2,4,3,4,1,1,4,3,1,2,6,4,2,3,12,3,3,3,9,3,3,4,12,4,3,5,20,4,4,5,20,4,3,6,24,97,1,0
9/12/2025 15:20,Yes,Yes,Public Higher Education Institutions,BSFT,"STEM (e.g.): Engineering, Computer Science, Nursing, Biology",3,1.51-1.75,Sometimes,2,Sometimes,2,Occasionally,2,Occasionally,2,Sometimes,2,Occasionally,3,Occasionally,3,Sometimes,4,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,4,Neutral,Neutral,4,,,71,Regular,FALSE,,2.8,3.2,4,4,3,2,1,3,3,2,2,6,2,2,3,6,2,2,3,6,3,2,4,12,2,3,5,10,2,3,5,10,3,4,6,18,97,0,0
